1	2	3	4	5	location
	-84	-72	-68		north
-94	-86	-72		-94	north
-88	-88	-72	-66		north
-94	-86	-72	-68		north
-92	-84	-70	-68		north
-88	-84	-72	-68		north
	-86	-74	-68		north
-88	-88		-68		north
-90	-84	-72	-68		north
-90	-84	-74	-66		north
-92	-86	-72	-66		north
-92	-88	-72	-66		north
-92	-84	-70	-66		north
-90	-88	-74	-68		north
-92	-86	-74	-66		north
-92	-84	-70	-68		north
-92	-88	-74	-66		north
-94	-88	-74	-66		north
-90		-74			north
	-86	-74	-68		north
-90		-72	-68		north
-90	-86	-74	-68		north
-92	-86	-72	-68	-94	north
	-88	-70	-66	-96	north
-88	-86	-74	-68	-94	north
-90	-86	-72	-66	-94	north
-90	-84	-72	-66	-94	north
-90		-74	-68		north
-92	-86	-72	-68	-94	north
-90	-86	-72	-68	-94	north
-92	-84	-72	-68		north
-92	-84	-72	-68		north
-90	-86	-74	-66		north
-90	-84	-72	-68		north
-90	-84	-74	-68		north
-90	-86	-74	-66	-92	north
-92	-86	-70	-68		north
-90	-88	-74	-66		north
-90	-88	-72	-66	-94	north
-90	-84	-72	-68		north
-88	-86	-72	-68		north
-92	-86	-74	-68		north
-90	-84	-74	-68		north
-92	-84	-72	-68		north
-90	-86	-74	-68	-94	north
-94	-86	-74	-68		north
-94	-88		-68		north
-92	-86	-72	-68	-94	north
-92	-84	-72	-66	-94	north
-90	-88	-72	-64	-94	north
-88	-82	-74	-68		north
-90	-86	-72	-68		north
-92	-86	-72	-66		north
-90	-88	-74	-68		north
	-86	-74	-66		north
-90	-86	-70	-68		north
-92	-84	-70	-66	-96	north
-90	-86	-74	-68		north
-92	-86	-70			north
	-84	-70	-68	-94	north
-94	-84	-72	-68	-94	north
-92	-84	-70	-68		north
-92	-88		-66		north
-90	-86		-68		north
	-84	-72	-66		north
-90		-70	-68		north
-90	-86	-72	-68		north
-92	-86	-72	-66	-96	north
-90	-84	-70	-68		north
-90	-86	-72	-68	-94	north
-94	-84	-74	-68		north
-92	-86	-70	-68		north
-90	-86	-72	-68		north
-90	-86	-74	-68		north
-92	-86	-70	-68	-94	north
-92	-86	-74	-68		north
-92	-86	-72	-66	-94	north
-94	-86	-70	-68		north
-94	-88	-74	-68		north
-92	-84	-70	-68		north
-94	-84	-70	-68		north
-94	-88	-74	-66		north
-92	-88	-70	-66	-94	north
-92	-86	-74	-68	-94	north
-92	-88	-72	-68	-92	north
-92	-84	-74	-68		north
-90	-86	-74	-68		north
-92	-86	-70	-68		north
-90	-86	-74	-68		north
-92	-86	-74	-68		north
-90	-86	-70	-66		north
-92	-84	-70		-94	north
-90	-88	-74	-68		north
	-86	-72	-68		north
-92	-88	-72	-68		north
-90	-88	-74	-68		north
-92	-86	-72	-66		north
-96	-86	-72	-68		north
-94	-88	-72	-68		north
	-84	-74	-68		north
-90	-88	-70	-66		north
-92	-84	-72	-68		north
-90	-84	-72	-66		north
-94	-86	-74	-68		north
-88	-86	-72	-66		north
-90	-86	-72	-68		north
-90	-88	-74	-68		north
-92	-88	-72	-68		north
-92	-88	-70	-68		north
-90	-88	-72	-66	-94	north
-90	-88	-72	-68		north
-92	-84	-70	-68	-92	north
-92	-84	-74	-68		north
-92	-84	-74	-66	-94	north
-92	-86	-72	-68	-94	north
-88	-86	-74	-68		north
-92	-86	-72	-68		north
-92	-88	-74	-68		north
-90	-86	-72	-68	-94	north
-90	-88	-70	-68	-92	north
-92	-88	-72	-68		north
-92		-74	-68		north
-94	-88	-74	-68	-94	north
-90	-84		-66		north
-92	-88	-74	-66	-96	north
-90	-84	-74	-66		north
-92	-84	-70	-66		north
-92	-86	-74	-66		north
-92	-86	-70	-68	-94	north
-92	-86	-74	-68		north
-92	-86	-70	-66	-92	north
-88	-86	-74	-66		north
-92		-74	-68		north
-94	-88	-72	-66		north
-92	-84	-74	-68	-94	north
-92	-84	-72	-68		north
-92	-86	-70	-68		north
-92	-86	-72	-66		north
-90	-88	-72	-68		north
-92	-88	-74	-68		north
-92	-84	-74	-68		north
-90		-74	-68		north
-88	-86		-68	-94	north
-92	-86		-68	-94	north
-92	-86	-74	-68		north
-90	-88	-74	-66	-94	north
-90	-88	-70	-66		north
	-86	-72	-66		north
-94	-88	-70	-68		north
-90	-90	-70	-68	-92	north
-92	-86	-74	-68	-94	north
	-86	-70	-68		north
-90	-88	-72	-68		north
-94	-86	-74	-68		north
-94	-88	-70	-68		north
-90	-90	-72	-68		north
-92	-90	-72	-68		north
-90	-86	-72	-64		north
-90	-86		-68		north
-90	-86	-70	-68		north
-92	-90	-74	-66		north
-90	-88	-72	-68		north
-90	-86	-72	-68		north
-90	-88	-68	-68		north
-92	-86		-68		north
-92	-90	-72	-66		north
-90	-86	-72	-66		north
-92	-86	-70	-68	-96	north
	-84	-74	-66		north
-90	-84	-70	-66		north
-92	-84	-70	-66		north
-92		-72	-68		north
-90	-84	-72			north
-92	-84	-74	-66		north
-92	-86	-72	-68	-92	north
-90	-86	-70	-68		north
-90	-86	-70	-68		north
-92	-88	-72	-68	-96	north
-92	-84	-70	-66		north
-90	-86	-70	-66		north
-92	-86	-70	-68		north
-90	-86	-76	-68		north
-90	-86	-76	-68		north
-92	-86	-72	-68		north
-90	-84	-70	-66	-94	north
	-86	-70	-66		north
-90	-86	-76	-66		north
	-84	-74	-68		north
-90	-86	-70	-68		north
-92	-86	-76	-68	-92	north
-90	-84	-70	-68	-94	north
-90	-84	-76	-68		north
-88	-86	-70	-66	-94	north
-88	-86	-76	-66	-94	north
-92	-86	-70	-68	-96	north
-92	-84	-74	-68		north
-92	-84	-76	-68		north
-88	-86	-70	-66		north
	-86	-74	-68	-94	north
-92		-70	-66		north
-90	-86	-74	-68		north
-92	-84	-72	-68		north
-90	-88	-74	-68	-94	north
-90	-86	-72	-68		north
-90	-84	-70	-68		north
-90	-84	-74	-66	-94	north
-92	-86	-70	-66	-94	north
-90	-84	-70	-68		north
-90	-86	-74	-68		north
-90	-86	-70			north
	-86	-70	-66	-94	north
-92	-86		-66	-94	north
-92	-84	-72			north
-90	-86	-70	-66		north
-92	-86		-68		north
-92	-88	-70	-68		north
-88	-88	-72	-68		north
-92	-84	-70	-68		north
-92	-84	-70	-68	-94	north
-90	-84	-72	-66		north
-90	-84	-70	-68	-94	north
-90	-84	-72			north
-92	-86	-76	-68		north
-90	-86		-68	-94	north
-90	-88		-68	-92	north
-92	-88	-72	-66	-94	north
-90	-84	-70	-68	-94	north
-90	-88	-70	-68		north
-90	-86		-68		north
-92	-86	-74	-68		north
	-88	-70	-66	-96	north
	-84	-72	-68		north
-90	-84	-74	-68		north
-92	-84	-70	-66		north
-92	-88	-74	-66	-96	north
-90	-86	-70	-68		north
	-86		-68		north
-92	-84	-72	-68		north
-90	-88	-70	-68		north
-90	-86	-76	-68		north
-90	-88	-70	-68		north
-92	-84	-74	-66	-96	north
-90	-88	-72	-68		north
-90	-86	-72	-66	-94	north
-92	-88		-68		north
-90		-70	-68		north
-92		-70	-68		north
-92	-86		-68		north
-90	-90	-74	-68		north
-90		-72	-66		north
-90	-88	-70	-68	-94	north
-92	-88		-66		north
	-84	-72	-68		north
-90	-88		-68		north
-92	-86	-72	-68	-94	north
-90	-90	-76	-68	-94	north
-90	-86		-68		north
-92	-86	-72	-68	-94	north
-90	-88	-72	-68		north
-90	-86	-72	-68		north
-90	-84	-70	-68		north
-90	-84	-70	-66		north
-92	-88	-72	-66		north
-90	-84	-72	-66		north
-90	-86	-70	-66		north
-90	-84	-76	-68		north
-90	-88	-72	-68		north
-92	-92	-70	-68		north
-90	-90	-74	-68		north
-88	-90	-72	-68		north
-92	-92	-70	-68		north
-90	-88	-72	-68	-96	north
-90	-92	-72	-66		north
	-92	-70	-68		north
-88	-90		-68		north
-94	-88		-68		north
-90		-70	-66		north
	-92	-72	-68		north
-92	-90	-72	-68		north
-90	-92	-76	-68		north
-92	-92	-76	-68	-94	north
-92	-86	-70	-68		north
-92	-88	-72	-68	-94	north
-94	-86	-72	-66		north
-92		-70	-68		north
-92	-92	-72	-68		north
-92	-94	-72	-66		north
-92	-88	-70	-68		north
-88	-88	-72	-66		north
-92	-84	-72	-66		north
-92	-84	-76	-66		north
	-84	-72	-66		north
-92	-86	-70	-66		north
-92	-84	-70			north
-90	-84		-68		north
	-94	-72	-68	-94	north
-90	-88		-68		north
-92	-90	-72	-66		north
-88	-90	-74	-68		north
-90	-90		-68		north
-90	-92	-72	-66		north
-88	-92	-74	-68		north
	-92	-70	-68		north
